avg_temp_c,temp_variance,humidity_change,shock_g,light_events,route_deviation_km,theft_zone_risk,weather_risk,carrier_score,device_uptime,transit_time_hr,declared_value_usd,cargo_type,packaging_type,claim
17.64,1.02,0.01,3.33,0,1.24,2.66,3.24,0.538,1.0,9.3,29922.35,general_merchandise,insulated,0
10.49,0.5,6.99,2.49,2,1.4,3.16,4.06,0.815,0.933,78.0,41133.0,general_merchandise,refrigerated,0
11.14,5.53,4.83,2.21,1,4.04,1.48,2.75,0.688,0.966,44.5,68428.33,general_merchandise,standard,1
11.19,4.86,6.82,0.46,0,4.83,0.87,5.2,0.724,0.943,100.1,86915.88,fresh_produce,refrigerated,1
15.98,8.95,2.66,1.26,1,0.21,0.8,1.22,0.76,0.953,55.9,36865.61,electronics_high_value,standard,1
5.12,1.42,16.45,0.96,0,0.25,1.94,2.06,0.774,0.98,86.8,93952.79,pharma_cold_chain,insulated,1
17.85,3.67,14.11,1.58,0,6.87,6.18,4.22,0.961,0.945,92.7,6533.43,fresh_produce,refrigerated,0
11.52,0.21,10.7,1.8,1,2.15,3.61,2.3,0.748,0.964,40.9,38824.24,pharma_cold_chain,insulated,0
14.64,1.13,11.97,1.73,0,0.83,1.55,4.81,0.665,0.922,111.5,25178.19,chemicals,insulated,0
19.72,5.28,13.86,1.07,2,3.07,1.82,2.36,0.828,0.938,41.0,35792.11,electronics_high_value,standard,0
18.9,2.24,6.62,4.06,0,1.79,4.31,4.31,0.74,0.959,61.9,94437.35,general_merchandise,refrigerated,0
12.78,1.94,6.12,2.52,0,1.4,3.66,2.78,0.941,0.966,82.1,98162.82,chemicals,refrigerated,1
16.16,3.79,9.45,0.82,0,0.5,3.47,4.15,0.753,0.94,97.8,53039.27,fresh_produce,refrigerated,0
22.22,3.34,10.79,3.46,0,1.15,1.68,1.92,0.825,0.959,47.6,29361.62,electronics_high_value,standard,0
18.46,2.59,6.56,1.13,0,5.37,1.56,7.05,0.905,0.974,86.6,18194.41,fresh_produce,palletized,1
14.93,0.91,12.59,1.48,1,1.08,4.25,5.26,0.895,0.972,64.8,114336.76,chemicals,insulated,0
21.11,0.58,6.23,0.78,0,6.65,1.77,5.28,0.728,0.95,66.8,46951.44,general_merchandise,insulated,0
16.72,6.0,0.4,1.53,1,0.99,1.87,2.85,0.69,0.976,39.4,45229.76,general_merchandise,palletized,1
11.31,0.48,8.08,1.14,0,1.35,1.28,6.04,0.939,0.955,57.0,23481.06,pharma_cold_chain,insulated,0
15.92,4.95,3.35,2.29,2,5.37,1.33,0.76,0.728,0.93,63.9,58060.11,general_merchandise,standard,1
7.84,1.32,5.47,2.14,0,7.36,3.2,4.55,0.725,0.938,116.3,77505.81,pharma_cold_chain,refrigerated,0
3.38,1.98,0.59,0.49,3,1.77,2.84,5.03,0.832,0.956,52.2,17608.5,pharma_cold_chain,insulated,0
16.92,5.57,14.1,1.05,0,2.85,2.21,4.85,0.542,0.941,33.4,15888.4,general_merchandise,palletized,0
5.3,2.75,12.18,2.63,2,2.48,3.6,3.27,0.858,0.989,82.4,39665.79,pharma_cold_chain,insulated,0
12.89,6.56,5.39,2.77,1,4.94,1.24,4.63,0.692,0.915,68.6,24063.37,electronics_high_value,palletized,0
17.24,4.51,1.24,2.32,0,0.92,1.91,4.88,0.772,0.96,89.8,31027.8,electronics_high_value,palletized,1
22.24,4.75,0.4,1.59,1,2.19,0.48,4.9,0.712,0.989,57.4,24330.95,general_merchandise,refrigerated,0
19.25,1.11,10.14,0.02,0,6.15,4.42,0.73,0.737,0.949,52.5,37497.8,fresh_produce,refrigerated,0
14.42,8.0,8.88,1.81,0,0.28,2.13,6.16,0.801,0.966,69.1,77957.96,general_merchandise,palletized,0
15.67,3.13,9.98,2.01,0,2.87,4.68,9.08,0.895,0.948,102.3,41096.77,general_merchandise,refrigerated,0
9.64,3.17,2.04,1.54,0,1.38,2.16,1.86,0.911,0.976,101.1,15489.95,pharma_cold_chain,insulated,1
11.77,1.87,7.07,1.24,0,1.71,1.65,4.11,0.759,0.924,68.1,13708.66,general_merchandise,insulated,0
17.11,5.84,2.83,2.52,0,1.12,1.64,1.99,0.953,0.933,63.4,95932.39,general_merchandise,insulated,0
12.79,5.51,4.74,2.35,1,3.95,4.3,1.27,0.891,0.969,103.6,51046.21,electronics_high_value,standard,0
17.06,2.37,11.74,1.22,0,4.02,1.97,6.73,0.779,0.927,71.2,71855.6,fresh_produce,refrigerated,0
9.0,1.24,1.33,1.95,0,1.23,2.61,3.43,0.738,0.965,73.6,104174.88,pharma_cold_chain,insulated,0
13.77,1.79,9.78,1.78,1,1.41,1.09,6.29,0.87,0.996,60.3,65340.63,fresh_produce,refrigerated,0
8.75,2.58,15.16,1.95,0,2.16,4.75,6.6,0.735,0.964,93.7,99231.5,pharma_cold_chain,refrigerated,1
18.25,1.21,8.12,2.09,0,4.21,2.94,3.09,0.923,0.94,93.8,33831.62,general_merchandise,refrigerated,1
16.09,2.57,14.73,2.6,1,1.78,3.34,2.77,0.817,0.954,97.6,56479.33,electronics_high_value,standard,1
15.36,1.18,8.28,1.71,2,7.62,4.84,6.46,0.617,0.945,40.1,22950.89,general_merchandise,insulated,1
12.91,2.0,8.21,3.15,0,0.06,2.58,5.01,0.672,0.968,91.8,48258.54,chemicals,insulated,0
13.89,0.73,12.22,1.54,1,3.7,0.58,2.12,0.764,0.961,72.1,28451.68,general_merchandise,insulated,0
6.21,2.91,7.55,1.19,1,1.05,2.26,5.99,0.545,0.998,51.8,76931.77,pharma_cold_chain,refrigerated,1
19.44,5.25,11.49,1.85,1,0.52,6.01,7.79,0.927,0.993,77.2,45015.73,general_merchandise,palletized,0
18.32,3.97,9.28,0.47,0,1.42,0.63,2.56,0.661,1.0,61.4,67406.49,chemicals,refrigerated,0
16.92,8.05,4.1,2.75,2,1.86,1.44,5.18,0.808,0.996,37.5,19034.14,electronics_high_value,standard,1
16.29,1.39,13.1,1.9,0,2.69,1.08,6.56,0.736,0.946,70.2,43092.27,fresh_produce,refrigerated,1
2.87,0.84,6.12,2.5,1,0.47,1.94,2.58,0.895,0.961,59.2,42099.1,pharma_cold_chain,refrigerated,1
19.4,5.2,10.0,2.03,0,1.78,2.47,5.38,0.679,0.978,77.0,27580.29,general_merchandise,standard,0
5.04,4.49,14.65,0.98,0,6.1,1.11,6.58,0.784,0.969,64.7,12372.95,pharma_cold_chain,refrigerated,1
15.46,2.78,10.19,1.05,0,0.53,2.53,5.63,0.869,0.949,99.9,58304.58,general_merchandise,standard,0
18.33,4.15,7.8,3.14,2,5.66,2.19,2.69,0.68,1.0,108.6,83437.92,general_merchandise,refrigerated,1
11.48,2.84,12.0,1.14,0,0.91,3.51,3.23,0.859,0.958,72.1,23713.04,fresh_produce,refrigerated,0
17.65,0.89,7.15,1.89,0,4.12,4.04,1.36,0.671,0.983,14.8,14906.7,chemicals,insulated,0
16.56,4.14,14.85,0.13,0,6.74,2.85,1.89,0.909,0.997,58.2,82505.44,fresh_produce,palletized,0
15.05,3.85,6.43,0.91,3,6.29,4.52,8.94,0.801,1.0,79.7,72520.22,chemicals,palletized,0
12.32,2.9,12.34,0.21,0,1.44,1.36,6.21,0.891,0.909,42.1,126896.74,general_merchandise,palletized,1
16.96,5.47,10.66,1.91,2,2.03,2.87,5.14,0.813,0.96,18.1,13120.88,electronics_high_value,standard,1
11.86,1.79,4.26,1.61,0,4.94,1.95,2.37,0.781,0.939,100.5,47701.57,general_merchandise,refrigerated,0
7.8,3.93,5.62,1.04,1,3.08,2.67,1.98,0.667,0.981,48.3,25866.66,pharma_cold_chain,insulated,0
18.65,1.16,16.88,1.48,2,4.12,7.21,3.01,0.698,0.974,108.2,91982.01,electronics_high_value,standard,1
14.07,6.7,16.17,2.45,3,1.22,3.81,2.95,0.676,0.962,77.4,83828.31,electronics_high_value,palletized,1
6.11,1.65,4.82,1.13,2,4.5,2.94,2.66,0.543,0.982,72.7,43043.29,pharma_cold_chain,refrigerated,1
17.61,2.8,8.95,0.85,0,6.66,0.46,2.04,0.465,0.964,80.5,66114.19,general_merchandise,palletized,0
10.78,0.98,12.18,1.7,1,3.23,2.3,3.49,0.595,0.975,34.7,77196.13,pharma_cold_chain,insulated,1
16.4,6.13,12.01,2.28,1,1.41,4.9,2.15,0.629,0.94,57.4,15719.76,fresh_produce,palletized,0
11.72,0.78,10.13,0.67,0,0.64,0.49,4.38,0.64,0.973,85.2,30406.21,fresh_produce,refrigerated,0
19.49,4.34,9.04,1.94,1,2.38,2.37,5.56,0.768,0.961,88.5,26395.61,chemicals,palletized,1
15.67,8.58,6.11,1.85,0,1.58,3.03,3.03,0.7,0.988,124.9,56417.01,chemicals,palletized,1
22.75,5.03,7.07,0.6,2,5.82,2.46,3.65,0.798,0.957,92.2,22903.67,fresh_produce,palletized,0
14.71,4.31,11.0,1.47,0,1.66,4.21,5.12,0.798,0.971,82.2,35227.11,general_merchandise,standard,0
10.38,6.06,7.72,2.05,0,2.91,1.83,4.17,0.621,0.994,87.9,3568.43,pharma_cold_chain,refrigerated,1
20.04,1.46,6.15,0.46,2,0.47,4.81,2.6,0.606,0.944,31.8,26587.49,fresh_produce,refrigerated,1
14.62,6.51,1.41,2.5,0,3.75,4.68,0.5,0.856,0.922,46.0,27826.01,electronics_high_value,standard,0
18.65,5.24,18.43,1.84,1,2.83,4.04,5.61,0.793,0.964,78.3,48498.19,general_merchandise,standard,1
7.54,4.93,11.14,1.66,0,5.73,3.22,6.58,0.897,1.0,87.6,80085.19,pharma_cold_chain,insulated,1
12.61,3.32,6.68,0.79,0,4.2,4.84,0.83,0.646,0.976,85.6,16961.88,general_merchandise,standard,1
20.23,4.52,17.67,1.84,4,0.98,2.49,2.22,0.811,0.974,58.5,60653.05,general_merchandise,standard,1
6.83,5.63,0.07,2.57,1,1.46,4.41,5.62,0.567,0.978,106.7,161666.69,pharma_cold_chain,refrigerated,1
21.1,2.91,12.55,0.64,2,3.34,2.92,0.81,0.787,0.944,89.8,47709.66,fresh_produce,refrigerated,0
15.67,4.66,10.28,0.62,3,1.9,2.68,3.94,0.712,0.99,129.1,40134.38,general_merchandise,standard,1
-1.01,2.83,7.32,1.41,1,0.28,3.05,4.04,0.689,0.968,80.9,26935.79,pharma_cold_chain,refrigerated,0
15.68,1.23,5.08,1.91,0,0.13,2.92,4.57,0.567,0.933,107.8,31497.54,pharma_cold_chain,insulated,1
6.69,3.98,8.02,1.66,0,2.97,2.45,7.68,0.812,0.979,43.9,24657.24,pharma_cold_chain,refrigerated,0
15.91,4.48,5.44,0.8,2,2.7,1.32,1.68,0.714,0.948,56.3,98396.39,electronics_high_value,standard,0
5.74,0.16,19.29,1.02,0,6.49,3.39,2.8,0.83,0.955,71.3,22613.36,pharma_cold_chain,insulated,0
11.35,0.72,4.72,1.69,1,2.44,0.48,4.07,0.576,0.985,51.6,19179.57,fresh_produce,refrigerated,0
12.34,0.57,10.12,1.38,2,1.58,4.5,5.2,0.58,0.954,33.7,47061.49,fresh_produce,refrigerated,1
12.36,2.71,3.17,2.75,1,4.11,0.06,3.71,0.832,0.911,37.8,32768.64,electronics_high_value,standard,0
5.36,4.04,3.96,0.01,1,0.18,0.94,3.44,0.879,0.933,89.6,42995.18,pharma_cold_chain,insulated,1
13.33,4.34,9.83,1.76,1,6.34,3.28,6.46,0.789,0.957,63.4,44302.5,fresh_produce,refrigerated,0
9.67,3.3,12.29,1.54,0,1.32,2.15,4.08,0.935,0.919,87.8,19952.71,pharma_cold_chain,insulated,0
